observation_date,NFCILEVERAGE
1971-01-08,-1.024
1971-01-15,-1.042
1971-01-22,-1.058
1971-01-29,-1.073
1971-02-05,-1.085
1971-02-12,-1.094
1971-02-19,-1.099
1971-02-26,-1.101
1971-03-05,-1.098
1971-03-12,-1.09
1971-03-19,-1.077
1971-03-26,-1.06
1971-04-02,-1.037
1971-04-09,-1.01
1971-04-16,-0.979
1971-04-23,-0.943
1971-04-30,-0.905
1971-05-07,-0.864
1971-05-14,-0.821
1971-05-21,-0.777
1971-05-28,-0.732
1971-06-04,-0.686
1971-06-11,-0.641
1971-06-18,-0.596
1971-06-25,-0.552
1971-07-02,-0.51
1971-07-09,-0.469
1971-07-16,-0.431
1971-07-23,-0.395
1971-07-30,-0.362
1971-08-06,-0.333
1971-08-13,-0.308
1971-08-20,-0.286
1971-08-27,-0.269
1971-09-03,-0.256
1971-09-10,-0.247
1971-09-17,-0.243
1971-09-24,-0.245
1971-10-01,-0.251
1971-10-08,-0.261
1971-10-15,-0.277
1971-10-22,-0.298
1971-10-29,-0.323
1971-11-05,-0.351
1971-11-12,-0.383
1971-11-19,-0.418
1971-11-26,-0.454
1971-12-03,-0.491
1971-12-10,-0.528
1971-12-17,-0.563
1971-12-24,-0.596
1971-12-31,-0.626
1972-01-07,-0.652
1972-01-14,-0.674
1972-01-21,-0.691
1972-01-28,-0.704
1972-02-04,-0.711
1972-02-11,-0.712
1972-02-18,-0.708
1972-02-25,-0.698
1972-03-03,-0.684
1972-03-10,-0.663
1972-03-17,-0.638
1972-03-24,-0.609
1972-03-31,-0.575
1972-04-07,-0.537
1972-04-14,-0.497
1972-04-21,-0.454
1972-04-28,-0.409
1972-05-05,-0.362
1972-05-12,-0.314
1972-05-19,-0.266
1972-05-26,-0.218
1972-06-02,-0.17
1972-06-09,-0.123
1972-06-16,-0.076
1972-06-23,-0.03
1972-06-30,0.015
1972-07-07,0.059
1972-07-14,0.102
1972-07-21,0.143
1972-07-28,0.184
1972-08-04,0.224
1972-08-11,0.263
1972-08-18,0.301
1972-08-25,0.338
1972-09-01,0.375
1972-09-08,0.412
1972-09-15,0.448
1972-09-22,0.485
1972-09-29,0.522
1972-10-06,0.56
1972-10-13,0.598
1972-10-20,0.638
1972-10-27,0.68
1972-11-03,0.724
1972-11-10,0.771
1972-11-17,0.821
1972-11-24,0.874
1972-12-01,0.931
1972-12-08,0.991
1972-12-15,1.056
1972-12-22,1.124
1972-12-29,1.196
1973-01-05,1.271
1973-01-12,1.349
1973-01-19,1.43
1973-01-26,1.512
1973-02-02,1.595
1973-02-09,1.679
1973-02-16,1.763
1973-02-23,1.845
1973-03-02,1.925
1973-03-09,2.004
1973-03-16,2.079
1973-03-23,2.151
1973-03-30,2.22
1973-04-06,2.284
1973-04-13,2.344
1973-04-20,2.399
1973-04-27,2.449
1973-05-04,2.493
1973-05-11,2.532
1973-05-18,2.564
1973-05-25,2.592
1973-06-01,2.613
1973-06-08,2.63
1973-06-15,2.642
1973-06-22,2.65
1973-06-29,2.656
1973-07-06,2.658
1973-07-13,2.659
1973-07-20,2.659
1973-07-27,2.658
1973-08-03,2.656
1973-08-10,2.655
1973-08-17,2.654
1973-08-24,2.653
1973-08-31,2.654
1973-09-07,2.655
1973-09-14,2.658
1973-09-21,2.663
1973-09-28,2.67
1973-10-05,2.679
1973-10-12,2.69
1973-10-19,2.702
1973-10-26,2.717
1973-11-02,2.732
1973-11-09,2.748
1973-11-16,2.765
1973-11-23,2.781
1973-11-30,2.797
1973-12-07,2.813
1973-12-14,2.827
1973-12-21,2.842
1973-12-28,2.855
1974-01-04,2.869
1974-01-11,2.882
1974-01-18,2.896
1974-01-25,2.911
1974-02-01,2.927
1974-02-08,2.943
1974-02-15,2.96
1974-02-22,2.978
1974-03-01,2.997
1974-03-08,3.016
1974-03-15,3.036
1974-03-22,3.055
1974-03-29,3.075
1974-04-05,3.093
1974-04-12,3.111
1974-04-19,3.128
1974-04-26,3.143
1974-05-03,3.157
1974-05-10,3.169
1974-05-17,3.179
1974-05-24,3.188
1974-05-31,3.194
1974-06-07,3.198
1974-06-14,3.2
1974-06-21,3.199
1974-06-28,3.195
1974-07-05,3.187
1974-07-12,3.176
1974-07-19,3.16
1974-07-26,3.138
1974-08-02,3.111
1974-08-09,3.078
1974-08-16,3.038
1974-08-23,2.992
1974-08-30,2.939
1974-09-06,2.88
1974-09-13,2.815
1974-09-20,2.744
1974-09-27,2.668
1974-10-04,2.587
1974-10-11,2.503
1974-10-18,2.416
1974-10-25,2.326
1974-11-01,2.235
1974-11-08,2.141
1974-11-15,2.046
1974-11-22,1.95
1974-11-29,1.851
1974-12-06,1.751
1974-12-13,1.649
1974-12-20,1.545
1974-12-27,1.44
1975-01-03,1.333
1975-01-10,1.224
1975-01-17,1.115
1975-01-24,1.006
1975-01-31,0.896
1975-02-07,0.787
1975-02-14,0.677
1975-02-21,0.569
1975-02-28,0.46
